step,hour,weather_level,demand_level,renewable_level,price_level
0,0,1,0,0,1
1,1,1,1,2,1
2,2,1,1,0,2
3,3,1,1,0,1
4,4,1,1,0,1
5,5,1,1,0,1
6,6,1,2,3,1
7,7,1,2,0,1
8,8,1,2,3,2
9,9,1,2,1,0
10,10,2,2,3,0
11,11,1,2,3,0
12,12,1,1,3,0
13,13,1,2,2,1
14,14,0,2,3,0
15,15,2,3,3,0
16,16,1,3,0,2
17,17,1,3,0,2
18,18,1,3,1,2
19,19,1,3,2,2
20,20,1,3,0,2
21,21,0,1,3,1
22,22,1,1,0,1
23,23,1,1,0,1
24,0,1,1,0,1
25,1,2,1,0,2
26,2,2,1,0,1
27,3,1,1,2,2
28,4,1,1,0,1
29,5,1,1,0,1
30,6,1,2,0,1
31,7,1,2,2,1
32,8,1,2,1,1
33,9,2,2,1,0
34,10,1,2,3,0
35,11,1,2,3,0
36,12,1,2,3,0
37,13,1,2,3,0
38,14,1,2,3,0
39,15,1,2,3,0
40,16,1,3,3,2
41,17,1,3,0,2
42,18,1,3,0,2
43,19,1,3,0,2
44,20,1,3,0,2
45,21,2,1,0,1
46,22,1,0,0,1
47,23,1,1,0,1
48,0,2,2,0,1
49,1,1,1,2,1
50,2,0,1,0,1
51,3,1,1,0,1
52,4,1,2,2,1
53,5,2,1,1,1
54,6,1,1,1,1
55,7,1,2,1,2
56,8,1,2,2,1
57,9,1,2,3,0
58,10,0,2,3,0
59,11,1,2,1,0
60,12,1,2,3,0
61,13,1,2,3,0
62,14,1,2,1,0
63,15,1,2,3,0
64,16,1,3,1,2
65,17,1,3,1,2
66,18,1,3,0,2
67,19,2,3,0,2
68,20,0,3,0,2
69,21,0,1,0,1
70,22,0,0,0,2
71,23,1,1,0,1
72,0,1,1,0,1
73,1,1,1,0,2
74,2,1,1,0,2
75,3,1,2,0,1
76,4,1,1,0,1
77,5,1,1,2,1
78,6,1,1,1,1
79,7,1,2,2,2
80,8,0,2,1,1
81,9,1,2,2,0
82,10,1,2,3,0
83,11,1,2,3,0
84,12,2,2,3,0
85,13,2,2,3,0
86,14,1,2,3,0
87,15,1,2,3,0
88,16,0,3,1,2
89,17,1,3,2,2
90,18,1,3,2,2
91,19,2,3,0,2
92,20,0,3,2,2
93,21,1,1,2,1
94,22,1,1,0,2
95,23,1,1,0,1
96,0,1,2,1,2
97,1,1,1,1,1
98,2,1,1,1,1
99,3,1,1,0,1
100,4,1,1,0,1
101,5,1,1,0,1
102,6,1,2,0,1
103,7,0,2,1,1
104,8,2,2,0,1
105,9,0,1,3,0
106,10,1,3,3,0
107,11,1,2,3,0
108,12,1,2,3,0
109,13,1,2,3,0
110,14,1,2,3,0
111,15,0,2,2,0
112,16,1,3,0,2
113,17,1,3,1,2
114,18,1,3,1,2
115,19,1,3,0,2
116,20,1,3,0,2
117,21,1,1,0,1
118,22,1,1,0,2
119,23,2,1,0,1
120,0,1,2,0,1
121,1,0,1,0,2
122,2,0,1,0,1
123,3,1,1,0,2
124,4,2,1,0,1
125,5,1,1,0,1
126,6,1,2,1,1
127,7,1,1,1,1
128,8,1,2,1,2
129,9,2,3,3,0
130,10,1,2,3,1
131,11,2,2,3,0
132,12,1,2,3,0
133,13,1,2,3,0
134,14,2,2,0,0
135,15,1,2,3,1
136,16,0,3,1,2
137,17,1,3,1,2
138,18,1,3,0,2
139,19,1,3,2,2
140,20,1,3,0,2
141,21,1,1,0,1
142,22,1,1,0,2
143,23,0,1,1,2
144,0,1,1,0,2
145,1,1,1,1,1
146,2,1,1,0,2
147,3,1,1,0,2
148,4,1,1,0,1
149,5,1,1,0,1
150,6,1,2,3,1
151,7,0,2,1,1
152,8,1,2,0,2
153,9,1,2,3,0
154,10,0,2,3,0
155,11,0,2,3,0
156,12,1,3,3,1
157,13,1,2,1,1
158,14,1,2,2,0
159,15,1,1,3,0
160,16,0,3,1,2
161,17,1,3,3,2
162,18,0,3,1,2
163,19,1,3,0,2
164,20,1,3,2,2
165,21,1,1,0,1
166,22,0,1,0,1
167,23,1,1,1,1
