step,battery,demand,renewable,period,action,reward,grid_bought,demand_covered,unmet_demand
0,0,2,2,2,1,3.0,0,2,0
1,0,2,2,1,3,3.0,0,2,0
2,0,0,2,2,3,0.8,0,0,0
3,0,1,2,3,3,2.4,0,1,0
4,0,1,1,0,0,1.0,0,1,0
5,0,2,0,1,1,2.8,2,2,0
6,0,2,2,2,1,3.0,0,2,0
7,0,1,0,3,1,1.4,1,1,0
8,0,1,1,0,0,1.0,0,1,0
9,0,2,1,1,1,3.4,1,2,0
10,0,2,2,2,1,3.0,0,2,0
11,0,1,1,3,1,1.0,0,1,0
12,0,0,1,0,3,0.4,0,0,0
13,0,0,2,1,3,0.8,0,0,0
14,0,1,1,2,0,1.0,0,1,0
15,0,1,1,3,1,1.0,0,1,0
16,0,0,1,0,3,0.4,0,0,0
17,0,1,2,1,3,2.4,0,1,0
18,0,1,2,2,3,2.4,0,1,0
19,0,1,0,3,1,1.4,1,1,0
20,0,1,1,0,0,1.0,0,1,0
21,0,1,1,1,0,1.0,0,1,0
22,0,2,0,2,1,2.8,2,2,0
23,0,0,0,3,1,-1.0,0,0,0
