step,battery,demand,renewable,price_level,period,action,reward,grid_bought,sold,demand_covered,unmet_demand,wasted_renewable,invalid_action,risk_score,risk_level,risk_level_name
0,2,1,0,1,0,0,0.11250000000000004,0,0,1,0,0,0,62.916666666666664,1,medium
1,1,1,0,1,0,0,-0.07500000000000018,0,0,1,0,0,0,69.16666666666667,2,high
2,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
3,0,0,0,1,0,4,-1.7249999999999996,0,0,0,0,0,0,57.49999999999999,1,medium
4,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
5,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
6,0,1,1,1,1,0,-1.3249999999999997,0,0,1,0,0,1,60.83333333333333,1,medium
7,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
8,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
9,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
10,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
11,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
12,0,2,3,0,2,0,-0.6999999999999997,0,0,2,0,1,1,90.0,2,high
13,0,2,3,0,2,2,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
14,1,2,3,0,2,2,2.5,0,0,2,0,0,0,50.0,1,medium
15,2,1,3,0,2,2,1.55,0,0,1,0,0,0,15.0,0,low
16,4,3,1,2,2,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
17,2,3,1,2,2,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
18,0,3,1,2,3,1,-1.5000000000000004,2,0,3,0,0,0,90.0,2,high
19,0,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
20,0,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
21,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
22,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
23,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
24,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
25,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
26,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
27,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
28,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
29,0,1,1,1,0,4,0.17500000000000027,0,0,1,0,0,0,60.83333333333333,1,medium
30,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
31,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
32,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
33,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
34,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
35,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
36,0,2,2,0,2,4,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
37,0,2,3,0,2,2,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
38,1,3,3,0,2,1,1.8000000000000003,0,0,3,0,0,1,90.0,2,high
39,1,2,3,0,2,2,2.5,0,0,2,0,0,0,50.0,1,medium
40,2,3,1,2,2,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
41,0,3,1,2,2,1,-1.5000000000000004,2,0,3,0,0,0,90.0,2,high
42,0,3,1,2,3,1,-1.5000000000000004,2,0,3,0,0,0,90.0,2,high
43,0,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
44,0,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
45,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
46,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
47,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
48,0,0,0,1,0,4,-1.7249999999999996,0,0,0,0,0,0,57.49999999999999,1,medium
49,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
50,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
51,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
52,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
53,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
54,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
55,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
56,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
57,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
58,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
59,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
60,0,2,3,0,2,2,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
61,1,2,3,0,2,2,2.5,0,0,2,0,0,0,50.0,1,medium
62,2,3,3,0,2,4,4.575,0,0,3,0,0,0,47.5,1,medium
63,2,2,3,0,2,2,3.55,0,0,2,0,0,0,15.0,0,low
64,3,3,1,2,2,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
65,1,3,1,2,2,1,-1.5000000000000004,2,0,3,0,0,0,90.0,2,high
66,1,3,2,2,3,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
67,0,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
68,0,3,1,2,3,1,-1.5000000000000004,2,0,3,0,0,0,90.0,2,high
69,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
70,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
71,0,0,0,1,3,4,-1.7249999999999996,0,0,0,0,0,0,57.49999999999999,1,medium
72,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
73,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
74,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
75,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
