step,battery,demand,renewable,price_level,period,action,reward,grid_bought,sold,demand_covered,unmet_demand,wasted_renewable,invalid_action,risk_score,risk_level,risk_level_name
0,2,2,0,1,0,1,-0.7000000000000002,2,0,2,0,0,0,50.0,1,medium
1,2,1,0,1,0,1,-1.1,1,0,1,0,0,0,50.0,1,medium
2,2,1,0,1,0,1,-1.1,1,0,1,0,0,0,50.0,1,medium
3,2,1,0,1,0,1,-1.1,1,0,1,0,0,0,50.0,1,medium
4,2,1,0,1,0,1,-1.1,1,0,1,0,0,0,50.0,1,medium
5,2,1,0,1,0,1,-1.1,1,0,1,0,0,0,50.0,1,medium
6,2,2,1,1,1,0,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
7,1,3,0,2,1,1,-3.9,3,0,3,0,0,0,90.0,2,high
8,1,3,2,2,1,1,0.8999999999999999,1,0,3,0,0,0,90.0,2,high
9,1,3,3,2,1,4,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
10,1,2,3,0,1,2,2.5,0,0,2,0,0,0,50.0,1,medium
11,2,2,3,0,1,2,3.55,0,0,2,0,0,0,15.0,0,low
12,3,2,3,0,2,2,3.55,0,0,2,0,0,0,15.0,0,low
13,4,2,1,0,2,0,2.6125,0,0,2,0,0,0,46.25,1,medium
14,3,2,3,0,2,2,3.55,0,0,2,0,0,0,15.0,0,low
15,4,2,3,0,2,3,4.35,0,1,2,0,0,0,15.0,0,low
16,4,3,1,2,2,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
17,2,3,1,2,2,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
18,0,3,1,2,3,1,-1.5000000000000004,2,0,3,0,0,0,90.0,2,high
19,0,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
20,0,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
21,0,2,0,2,3,1,-3.5000000000000004,2,0,2,0,0,0,90.0,2,high
22,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
23,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
24,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
25,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
26,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
27,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
28,0,2,0,1,0,1,-1.9,2,0,2,0,0,0,90.0,2,high
29,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
30,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
31,0,3,0,2,1,1,-3.9,3,0,3,0,0,0,90.0,2,high
32,0,3,2,2,1,1,0.8999999999999999,1,0,3,0,0,0,90.0,2,high
