step,battery,demand,renewable,price_level,period,action,reward,grid_bought,sold,demand_covered,unmet_demand,wasted_renewable,invalid_action,risk_score,risk_level,risk_level_name
0,2,0,0,1,0,4,-1.3499999999999999,0,0,0,0,0,0,45.0,1,medium
1,2,1,2,1,0,2,1.55,0,0,1,0,0,0,15.0,0,low
2,3,1,0,2,0,0,-0.30000000000000027,0,0,1,0,0,0,76.66666666666667,2,high
3,2,1,0,1,0,0,0.11250000000000004,0,0,1,0,0,0,62.916666666666664,1,medium
4,1,1,0,1,0,0,-0.07500000000000018,0,0,1,0,0,0,69.16666666666667,2,high
5,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
6,0,2,3,1,1,2,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
7,1,2,0,1,1,1,-1.9,2,0,2,0,0,0,90.0,2,high
8,1,2,3,2,1,2,2.5,0,0,2,0,0,0,50.0,1,medium
9,2,2,1,0,1,1,1.7000000000000002,1,0,2,0,0,0,50.0,1,medium
10,2,2,3,0,1,2,3.55,0,0,2,0,0,0,15.0,0,low
11,3,2,3,0,1,3,4.35,0,1,2,0,0,0,15.0,0,low
12,3,1,3,0,2,2,1.05,0,0,1,0,1,0,15.0,0,low
13,4,2,2,1,2,4,3.55,0,0,2,0,0,0,15.0,0,low
14,4,2,3,0,2,3,4.35,0,1,2,0,0,0,15.0,0,low
15,4,3,3,0,2,4,5.55,0,0,3,0,0,0,15.0,0,low
16,4,3,0,2,2,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
17,1,3,0,2,2,1,-3.9,3,0,3,0,0,0,90.0,2,high
18,1,3,1,2,3,1,-1.5000000000000004,2,0,3,0,0,0,90.0,2,high
19,1,3,2,2,3,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
20,0,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
21,0,1,3,1,3,2,0.5,0,0,1,0,0,0,50.0,1,medium
22,2,1,0,1,3,1,-1.1,1,0,1,0,0,0,50.0,1,medium
23,2,1,0,1,3,1,-1.1,1,0,1,0,0,0,50.0,1,medium
24,2,1,0,1,0,0,0.11250000000000004,0,0,1,0,0,0,62.916666666666664,1,medium
25,1,1,0,2,0,0,-0.6999999999999997,0,0,1,0,0,0,90.0,2,high
26,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
27,0,1,2,2,0,3,1.0,0,1,1,0,0,0,60.0,1,medium
28,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
29,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
30,0,2,0,1,1,1,-1.9,2,0,2,0,0,0,90.0,2,high
31,0,2,2,1,1,4,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
32,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
33,0,2,1,0,1,1,0.5000000000000004,1,0,2,0,0,0,90.0,2,high
34,0,2,3,0,1,2,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
35,1,2,3,0,1,2,2.5,0,0,2,0,0,0,50.0,1,medium
36,2,2,3,0,2,2,3.55,0,0,2,0,0,0,15.0,0,low
37,3,2,3,0,2,2,3.55,0,0,2,0,0,0,15.0,0,low
38,4,2,3,0,2,3,4.35,0,1,2,0,0,0,15.0,0,low
39,4,2,3,0,2,3,4.35,0,1,2,0,0,0,15.0,0,low
40,4,3,3,2,2,4,4.425,0,0,3,0,0,0,52.5,1,medium
41,4,3,0,2,2,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
