step,battery,demand,renewable,price_level,period,action,reward,grid_bought,sold,demand_covered,unmet_demand,wasted_renewable,invalid_action,risk_score,risk_level,risk_level_name
0,2,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
1,2,2,0,1,0,0,1.875641025641026,0,0,2,0,0,0,70.8119658119658,2,high
2,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
3,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
4,0,2,0,1,0,1,-1.324358974358974,2,0,2,0,0,0,70.8119658119658,2,high
5,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
6,0,2,1,1,1,1,0.275641025641026,1,0,2,0,0,0,70.8119658119658,2,high
7,0,2,1,1,1,1,0.275641025641026,1,0,2,0,0,0,70.8119658119658,2,high
8,0,2,1,1,1,1,0.275641025641026,1,0,2,0,0,0,70.8119658119658,2,high
9,0,2,3,0,1,2,2.5,0,0,2,0,0,0,50.0,1,medium
10,1,2,3,0,1,2,3.124358974358974,0,0,2,0,0,0,29.18803418803421,0,low
11,2,1,3,0,1,3,2.724358974358974,0,2,1,0,0,0,29.18803418803421,0,low
12,2,3,3,0,2,4,5.124358974358974,0,0,3,0,0,0,29.18803418803421,0,low
13,2,3,3,0,2,4,5.124358974358974,0,0,3,0,0,0,29.18803418803421,0,low
14,2,3,3,0,2,4,5.124358974358974,0,0,3,0,0,0,29.18803418803421,0,low
15,2,3,3,0,2,4,5.124358974358974,0,0,3,0,0,0,29.18803418803421,0,low
16,2,3,3,1,2,4,4.5,0,0,3,0,0,0,49.99999999999999,1,medium
17,2,3,2,1,2,1,2.9000000000000004,1,0,3,0,0,0,49.99999999999999,1,medium
18,2,3,1,2,3,0,3.875641025641026,0,0,3,0,0,0,70.8119658119658,2,high
19,0,3,0,2,3,1,-3.324358974358974,3,0,3,0,0,0,70.8119658119658,2,high
20,0,3,0,2,3,1,-3.324358974358974,3,0,3,0,0,0,70.8119658119658,2,high
21,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
22,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
23,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
24,0,1,1,1,0,4,0.5000000000000002,0,0,1,0,0,0,49.99999999999999,1,medium
25,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
26,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
27,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
28,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
29,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
30,0,2,1,1,1,1,0.275641025641026,1,0,2,0,0,0,70.8119658119658,2,high
