step,battery,demand,renewable,price_level,period,action,reward,grid_bought,sold,demand_covered,unmet_demand,wasted_renewable,invalid_action,risk_score,risk_level,risk_level_name
0,2,2,1,2,0,1,-0.5000000000000004,1,0,2,0,0,0,70.0,2,high
1,2,2,0,2,0,1,-3.100000000000001,2,0,2,0,0,0,76.66666666666667,2,high
2,2,2,0,2,0,1,-3.100000000000001,2,0,2,0,0,0,76.66666666666667,2,high
3,2,2,1,2,0,1,-0.5000000000000004,1,0,2,0,0,0,70.0,2,high
4,2,2,0,2,0,1,-3.100000000000001,2,0,2,0,0,0,76.66666666666667,2,high
5,2,2,0,2,0,1,-3.100000000000001,2,0,2,0,0,0,76.66666666666667,2,high
6,2,3,0,2,1,1,-3.9,3,0,3,0,0,0,90.0,2,high
7,2,3,0,2,1,1,-3.9,3,0,3,0,0,0,90.0,2,high
8,2,2,0,1,1,1,-0.7000000000000002,2,0,2,0,0,0,50.0,1,medium
9,2,2,2,0,1,4,2.5,0,0,2,0,0,0,50.0,1,medium
10,2,2,2,0,1,4,2.5,0,0,2,0,0,0,50.0,1,medium
11,2,2,1,0,1,1,1.7000000000000002,1,0,2,0,0,0,50.0,1,medium
12,2,2,2,0,2,4,2.5,0,0,2,0,0,0,50.0,1,medium
13,2,2,2,0,2,4,2.5,0,0,2,0,0,0,50.0,1,medium
14,2,2,2,0,2,4,2.5,0,0,2,0,0,0,50.0,1,medium
15,2,2,2,0,2,4,2.5,0,0,2,0,0,0,50.0,1,medium
16,2,3,0,2,2,1,-3.9,3,0,3,0,0,0,90.0,2,high
17,2,3,0,2,2,1,-3.9,3,0,3,0,0,0,90.0,2,high
18,2,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
19,2,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
20,2,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
21,2,2,1,2,3,1,-0.5000000000000004,1,0,2,0,0,0,70.0,2,high
22,2,2,0,2,3,0,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
23,0,2,1,2,3,1,-1.1,1,0,2,0,0,0,90.0,2,high
24,0,2,0,2,0,1,-3.5000000000000004,2,0,2,0,0,0,90.0,2,high
25,0,2,0,2,0,1,-3.5000000000000004,2,0,2,0,0,0,90.0,2,high
26,0,2,0,2,0,1,-3.5000000000000004,2,0,2,0,0,0,90.0,2,high
27,0,2,0,2,0,1,-3.5000000000000004,2,0,2,0,0,0,90.0,2,high
28,0,2,0,2,0,1,-3.5000000000000004,2,0,2,0,0,0,90.0,2,high
29,0,2,0,2,0,1,-3.5000000000000004,2,0,2,0,0,0,90.0,2,high
30,0,3,1,2,1,1,-1.5000000000000004,2,0,3,0,0,0,90.0,2,high
31,0,3,0,2,1,1,-3.9,3,0,3,0,0,0,90.0,2,high
32,0,2,0,1,1,1,-1.9,2,0,2,0,0,0,90.0,2,high
33,0,2,2,0,1,4,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
34,0,2,2,0,1,4,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
35,0,2,3,0,1,2,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
36,1,2,3,0,2,2,2.5,0,0,2,0,0,0,50.0,1,medium
37,2,2,2,0,2,4,2.5,0,0,2,0,0,0,50.0,1,medium
38,2,2,2,0,2,4,2.5,0,0,2,0,0,0,50.0,1,medium
39,2,2,2,0,2,4,2.5,0,0,2,0,0,0,50.0,1,medium
40,2,3,0,2,2,1,-3.9,3,0,3,0,0,0,90.0,2,high
41,2,3,0,2,2,1,-3.9,3,0,3,0,0,0,90.0,2,high
42,2,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
43,2,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
44,2,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
45,2,2,0,2,3,0,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
46,0,2,0,2,3,1,-3.5000000000000004,2,0,2,0,0,0,90.0,2,high
47,0,2,0,2,3,1,-3.5000000000000004,2,0,2,0,0,0,90.0,2,high
48,0,2,0,2,0,1,-3.5000000000000004,2,0,2,0,0,0,90.0,2,high
49,0,2,0,2,0,1,-3.5000000000000004,2,0,2,0,0,0,90.0,2,high
50,0,2,0,2,0,1,-3.5000000000000004,2,0,2,0,0,0,90.0,2,high
51,0,2,0,2,0,1,-3.5000000000000004,2,0,2,0,0,0,90.0,2,high
52,0,2,0,2,0,1,-3.5000000000000004,2,0,2,0,0,0,90.0,2,high
53,0,2,0,2,0,1,-3.5000000000000004,2,0,2,0,0,0,90.0,2,high
54,0,3,1,2,1,1,-1.5000000000000004,2,0,3,0,0,0,90.0,2,high
55,0,3,0,2,1,1,-3.9,3,0,3,0,0,0,90.0,2,high
56,0,3,0,1,1,1,-1.5000000000000004,3,0,3,0,0,0,90.0,2,high
57,0,2,1,0,1,1,0.5000000000000004,1,0,2,0,0,0,90.0,2,high
